group,register,type,min,max,step
0x00,0x0001,f32_range,-20,50,1
0x00,0x0002,f32_range,-26,10,1
0x00,0x0003,u16_range,0,12,1
0x00,0x0004,u16_range,0,300,10
0x00,0x0080,f32_range,-10,10,1
0x01,0x0001,u16_range,0,1,1
0x01,0x0002,u8_range,0,1,1
0x01,0x0003,u16_range,0,2,1
0x01,0x0004,f32_range,35,70,1
0x01,0x0005,f32_range,0,99,1
0x01,0x0006,u8_range,0,1,1
0x02,0x0001,u16_range,1,2,1
0x02,0x0002,u16_range,0,4,1
0x02,0x0004,f32_range,15,80,1
0x02,0x0005,u8_range,0,1,1
0x02,0x0006,u8_range,0,1,1
0x03,0x0001,u16_range,0,2,1
0x03,0x0002,f32_range,15,30,0.5
0x03,0x0005,f32_range,5,30,1
0x03,0x0006,u16_range,0,2,1
0x04,0x0001,u8_range,0,1,1
0x04,0x0002,u8_range,0,1,1
0x04,0x0003,f32_range,-40,155,1
0x04,0x0004,f32_range,0,99,1
0x04,0x0005,f32_range,110,150,1
0x04,0x0006,f32_range,75,115,1
0x05,0x0001,f32_range,0,99,1
0x05,0x0002,f32_range,2,25,1
0x05,0x0003,f32_range,1,20,1
0x05,0x0004,f32_range,-10,110,1
0x08,0x0001,f32_range,0,99,1
0x08,0x0002,f32_range,0,99,1
0x08,0x0003,f32_range,2,25,1
0x08,0x0004,f32_range,1,20,1
0x08,0x0005,f32_range,-10,110,1
0x08,0x0006,f32_range,-10,110,1
0x09,0x0001,u16_range,0,255,1
0x09,0x0002,u16_range,1,3,1
0x09,0x0003,u8_range,0,1,1
0x09,0x0004,u16_range,0,10,1
0x09,0x0005,u16_range,0,32768,1
0x09,0x0006,u16_range,0,32768,1
0x0a,0x0001,u8_range,0,3,1
0x0a,0x0002,u8_range,1,2,1
0x0a,0x0003,u8_range,1,2,1
0x0a,0x0005,u8_range,0,3,1
0x0a,0x0006,u8_range,0,1,1
